President_Name,Start_Date,End_Date,Approval,Disapproval,Unsure/No_Data
Barack Obama,6/9/12,6/11/12,49,45,6
Barack Obama,6/8/12,6/10/12,50,44,6
Barack Obama,6/7/12,6/9/12,48,45,7
Barack Obama,6/6/12,6/8/12,47,45,8
Barack Obama,6/5/12,6/7/12,46,47,7
Barack Obama,6/4/12,6/6/12,45,48,7
Barack Obama,6/3/12,6/5/12,46,47,7
Barack Obama,6/2/12,6/4/12,46,46,8
Barack Obama,6/1/12,6/3/12,47,45,8
Barack Obama,5/31/12,6/2/12,46,47,7
Barack Obama,5/30/12,6/1/12,46,46,8
Barack Obama,5/29/12,5/31/12,45,47,8
Barack Obama,5/27/12,5/30/12,47,45,8
Barack Obama,5/26/12,5/29/12,47,46,7
Barack Obama,5/25/12,5/27/12,49,44,7
Barack Obama,5/24/12,5/26/12,48,45,7
Barack Obama,5/23/12,5/25/12,48,46,6
Barack Obama,5/22/12,5/24/12,47,47,6
Barack Obama,5/21/12,5/23/12,48,46,6
Barack Obama,5/20/12,5/22/12,47,47,6
Barack Obama,5/19/12,5/21/12,48,45,7
Barack Obama,5/18/12,5/20/12,48,46,6
Barack Obama,5/17/12,5/19/12,48,45,7
Barack Obama,5/16/12,5/18/12,46,47,7
Barack Obama,5/15/12,5/17/12,48,46,6
Barack Obama,5/14/12,5/16/12,47,47,6
Barack Obama,5/13/12,5/15/12,46,48,6
Barack Obama,5/12/12,5/14/12,45,48,7
Barack Obama,5/11/12,5/13/12,46,48,6
Barack Obama,5/10/12,5/12/12,46,47,7
Barack Obama,5/9/12,5/11/12,48,46,6
Barack Obama,5/8/12,5/10/12,49,45,6
Barack Obama,5/7/12,5/9/12,48,46,6
Barack Obama,5/6/12,5/8/12,47,46,7
Barack Obama,5/5/12,5/7/12,46,47,7
Barack Obama,5/4/12,5/6/12,47,47,6
Barack Obama,5/3/12,5/5/12,46,48,6
Barack Obama,5/2/12,5/4/12,48,46,6
Barack Obama,5/1/12,5/3/12,50,44,6
Barack Obama,4/30/12,5/2/12,51,43,6
Barack Obama,4/29/12,5/1/12,49,46,5
Barack Obama,4/28/12,4/30/12,48,47,5
Barack Obama,4/27/12,4/29/12,47,48,5
Barack Obama,4/25/12,4/28/12,48,45,7
Barack Obama,4/24/12,4/27/12,48,46,6
Barack Obama,4/23/12,4/26/12,49,44,7
Barack Obama,4/22/12,4/24/12,50,44,6
Barack Obama,4/21/12,4/23/12,50,44,6
Barack Obama,4/20/12,4/22/12,50,44,6
Barack Obama,4/19/12,4/21/12,47,45,8
Barack Obama,4/18/12,4/20/12,46,46,8
Barack Obama,4/17/12,4/19/12,46,46,8
Barack Obama,4/16/12,4/18/12,47,46,7
Barack Obama,4/15/12,4/17/12,47,47,6
Barack Obama,4/14/12,4/16/12,46,48,6
Barack Obama,4/13/12,4/15/12,45,48,7
Barack Obama,4/12/12,4/14/12,47,47,6
Barack Obama,4/11/12,4/13/12,48,46,6
Barack Obama,4/10/12,4/12/12,49,44,7
Barack Obama,4/9/12,4/11/12,48,44,8
Barack Obama,4/7/12,4/10/12,45,45,10
Barack Obama,4/6/12,4/9/12,44,46,10
Barack Obama,4/5/12,4/7/12,45,46,9
Barack Obama,4/4/12,4/6/12,47,46,7
Barack Obama,4/3/12,4/5/12,50,43,7
Barack Obama,4/2/12,4/4/12,49,46,5
Barack Obama,4/1/12,4/3/12,48,45,7
Barack Obama,3/31/12,4/2/12,48,44,8
Barack Obama,3/30/12,4/1/12,47,44,9
Barack Obama,3/29/12,3/31/12,46,45,9
Barack Obama,3/28/12,3/30/12,43,50,7
Barack Obama,3/27/12,3/29/12,44,47,9
Barack Obama,3/26/12,3/28/12,46,46,8
Barack Obama,3/25/12,3/27/12,48,44,8
Barack Obama,3/24/12,3/26/12,47,45,8
Barack Obama,3/23/12,3/25/12,46,45,9
Barack Obama,3/22/12,3/24/12,47,44,9
Barack Obama,3/21/12,3/23/12,48,44,8
Barack Obama,3/20/12,3/22/12,47,46,7
Barack Obama,3/19/12,3/21/12,46,47,7
Barack Obama,3/18/12,3/20/12,46,46,8
Barack Obama,3/17/12,3/19/12,49,44,7
Barack Obama,3/16/12,3/18/12,49,44,7
Barack Obama,3/15/12,3/17/12,46,47,7
Barack Obama,3/14/12,3/16/12,43,50,7
Barack Obama,3/13/12,3/15/12,44,50,6
Barack Obama,3/12/12,3/14/12,45,49,6
Barack Obama,3/11/12,3/13/12,48,45,7
Barack Obama,3/10/12,3/12/12,47,46,7
Barack Obama,3/9/12,3/11/12,49,43,8
Barack Obama,3/8/12,3/10/12,47,45,8
Barack Obama,3/7/12,3/9/12,48,44,8
Barack Obama,3/6/12,3/8/12,48,44,8
Barack Obama,3/5/12,3/7/12,48,44,8
Barack Obama,3/4/12,3/6/12,44,47,9
Barack Obama,3/3/12,3/5/12,43,48,9
Barack Obama,3/2/12,3/4/12,45,48,7
Barack Obama,3/1/12,3/3/12,48,46,6
Barack Obama,2/29/12,3/2/12,48,46,6
Barack Obama,2/28/12,3/1/12,47,48,5
Barack Obama,2/27/12,2/29/12,46,49,5
Barack Obama,2/26/12,2/28/12,45,50,5
Barack Obama,2/25/12,2/27/12,43,50,7
Barack Obama,2/24/12,2/26/12,45,47,8
Barack Obama,2/23/12,2/25/12,44,46,10
Barack Obama,2/22/12,2/24/12,45,46,9
Barack Obama,2/21/12,2/23/12,45,47,8
Barack Obama,2/20/12,2/22/12,45,48,7
Barack Obama,2/19/12,2/21/12,45,48,7
Barack Obama,2/18/12,2/20/12,44,48,8
Barack Obama,2/17/12,2/19/12,44,48,8
Barack Obama,2/16/12,2/18/12,46,47,7
Barack Obama,2/15/12,2/17/12,46,48,6
Barack Obama,2/14/12,2/16/12,46,48,6
Barack Obama,2/13/12,2/15/12,43,48,9
Barack Obama,2/12/12,2/14/12,45,45,10
Barack Obama,2/11/12,2/13/12,45,47,8
Barack Obama,2/10/12,2/12/12,46,47,7
Barack Obama,2/9/12,2/11/12,45,48,7
Barack Obama,2/8/12,2/10/12,48,46,6
Barack Obama,2/7/12,2/9/12,48,46,6
Barack Obama,2/6/12,2/8/12,49,45,6
Barack Obama,2/3/12,2/7/12,47,47,6
Barack Obama,2/2/12,2/6/12,46,48,6
Barack Obama,2/1/12,2/3/12,46,46,8
Barack Obama,1/31/12,2/2/12,45,48,7
Barack Obama,1/30/12,2/1/12,46,47,7
Barack Obama,1/29/12,1/31/12,44,49,7
Barack Obama,1/28/12,1/30/12,46,47,7
Barack Obama,1/27/12,1/29/12,46,47,7
Barack Obama,1/26/12,1/28/12,46,46,8
Barack Obama,1/25/12,1/27/12,46,47,7
Barack Obama,1/24/12,1/26/12,43,49,8
Barack Obama,1/23/12,1/25/12,44,49,7
Barack Obama,1/22/12,1/24/12,43,49,8
Barack Obama,1/21/12,1/23/12,44,47,9
Barack Obama,1/20/12,1/22/12,44,46,10
Barack Obama,1/19/12,1/21/12,44,46,10
Barack Obama,1/18/12,1/20/12,46,46,8
Barack Obama,1/17/12,1/19/12,45,46,9
Barack Obama,1/16/12,1/18/12,45,46,9
Barack Obama,1/15/12,1/17/12,45,46,9
Barack Obama,1/14/12,1/16/12,46,46,8
Barack Obama,1/13/12,1/15/12,46,47,7
Barack Obama,1/12/12,1/14/12,46,48,6
Barack Obama,1/11/12,1/13/12,45,48,7
Barack Obama,1/10/12,1/12/12,45,46,9
Barack Obama,1/9/12,1/11/12,43,48,9
Barack Obama,1/8/12,1/10/12,43,49,8
Barack Obama,1/7/12,1/9/12,42,50,8
Barack Obama,1/6/12,1/8/12,46,47,7
Barack Obama,1/5/12,1/7/12,45,46,9
Barack Obama,1/4/12,1/6/12,45,46,9
Barack Obama,1/3/12,1/5/12,45,46,9
Barack Obama,1/2/12,1/4/12,46,47,7
Barack Obama,12/29/11,1/3/12,47,46,7
Barack Obama,12/28/11,1/2/12,45,47,8
Barack Obama,12/27/11,12/29/11,43,48,9
Barack Obama,12/26/11,12/28/11,41,50,9
Barack Obama,12/23/11,12/27/11,44,48,8
Barack Obama,12/22/11,12/26/11,46,48,6
Barack Obama,12/21/11,12/23/11,47,45,8
Barack Obama,12/20/11,12/22/11,44,48,8
Barack Obama,12/19/11,12/21/11,43,48,9
Barack Obama,12/18/11,12/20/11,43,49,8
Barack Obama,12/17/11,12/19/11,43,50,7
Barack Obama,12/16/11,12/18/11,42,50,8
Barack Obama,12/14/11,12/17/11,42,51,7
Barack Obama,12/13/11,12/15/11,41,51,8
Barack Obama,12/12/11,12/14/11,42,50,8
Barack Obama,12/11/11,12/13/11,43,49,8
Barack Obama,12/10/11,12/12/11,45,48,7
Barack Obama,12/9/11,12/11/11,44,48,8
Barack Obama,12/8/11,12/10/11,43,50,7
Barack Obama,12/7/11,12/9/11,42,51,7
Barack Obama,12/6/11,12/8/11,42,51,7
Barack Obama,12/5/11,12/7/11,42,50,8
Barack Obama,12/4/11,12/6/11,41,51,8
Barack Obama,12/3/11,12/5/11,41,51,8
Barack Obama,12/2/11,12/4/11,43,49,8
Barack Obama,12/1/11,12/3/11,44,49,7
Barack Obama,11/30/11,12/2/11,41,51,8
Barack Obama,11/29/11,12/1/11,42,50,8
Barack Obama,11/28/11,11/30/11,42,50,8
Barack Obama,11/27/11,11/29/11,43,49,8
Barack Obama,11/26/11,11/28/11,43,49,8
Barack Obama,11/25/11,11/27/11,44,47,9
Barack Obama,11/23/11,11/26/11,44,48,8
Barack Obama,11/22/11,11/25/11,42,48,10
Barack Obama,11/21/11,11/23/11,41,51,8
Barack Obama,11/20/11,11/22/11,41,50,9
Barack Obama,11/19/11,11/21/11,43,50,7
Barack Obama,11/18/11,11/20/11,44,47,9
Barack Obama,11/17/11,11/19/11,45,47,8
Barack Obama,11/16/11,11/18/11,43,47,10
Barack Obama,11/15/11,11/17/11,41,49,10
Barack Obama,11/14/11,11/16/11,40,51,9
Barack Obama,11/13/11,11/15/11,42,50,8
Barack Obama,11/12/11,11/14/11,44,49,7
Barack Obama,11/11/11,11/13/11,43,49,8
Barack Obama,11/10/11,11/12/11,43,49,8
Barack Obama,11/9/11,11/11/11,42,49,9
Barack Obama,11/8/11,11/10/11,42,49,9
Barack Obama,11/7/11,11/9/11,42,47,11
Barack Obama,11/6/11,11/8/11,43,48,9
Barack Obama,11/5/11,11/7/11,44,48,8
Barack Obama,11/4/11,11/6/11,43,50,7
Barack Obama,11/3/11,11/5/11,42,50,8
Barack Obama,11/2/11,11/4/11,42,51,7
Barack Obama,11/1/11,11/3/11,42,50,8
Barack Obama,10/30/11,11/2/11,44,49,7
Barack Obama,10/29/11,11/1/11,45,48,7
Barack Obama,10/28/11,10/30/11,43,50,7
Barack Obama,10/27/11,10/29/11,43,50,7
Barack Obama,10/26/11,10/28/11,42,51,7
Barack Obama,10/25/11,10/27/11,43,49,8
Barack Obama,10/24/11,10/26/11,43,48,9
Barack Obama,10/23/11,10/25/11,42,50,8
Barack Obama,10/22/11,10/24/11,43,49,8
Barack Obama,10/21/11,10/23/11,42,50,8
Barack Obama,10/20/11,10/22/11,44,47,9
Barack Obama,10/19/11,10/21/11,43,49,8
Barack Obama,10/18/11,10/20/11,42,50,8
Barack Obama,10/17/11,10/19/11,39,54,7
Barack Obama,10/16/11,10/18/11,39,53,8
Barack Obama,10/15/11,10/17/11,38,54,8
Barack Obama,10/14/11,10/16/11,42,50,8
Barack Obama,10/13/11,10/15/11,40,52,8
Barack Obama,10/12/11,10/14/11,40,52,8
Barack Obama,10/11/11,10/13/11,38,54,8
Barack Obama,10/10/11,10/12/11,40,53,7
Barack Obama,10/9/11,10/11/11,41,51,8
Barack Obama,10/8/11,10/10/11,41,51,8
Barack Obama,10/7/11,10/9/11,40,52,8
Barack Obama,10/6/11,10/8/11,39,53,8
Barack Obama,10/5/11,10/7/11,39,53,8
Barack Obama,10/4/11,10/6/11,38,53,9
Barack Obama,10/3/11,10/5/11,40,52,8
Barack Obama,10/2/11,10/4/11,41,52,7
Barack Obama,10/1/11,10/3/11,42,50,8
Barack Obama,9/30/11,10/2/11,43,49,8
Barack Obama,9/29/11,10/1/11,43,50,7
Barack Obama,9/28/11,9/30/11,41,51,8
Barack Obama,9/27/11,9/29/11,39,52,9
Barack Obama,9/26/11,9/28/11,39,51,10
Barack Obama,9/25/11,9/27/11,40,51,9
Barack Obama,9/24/11,9/26/11,42,49,9
Barack Obama,9/23/11,9/25/11,41,50,9
Barack Obama,9/22/11,9/24/11,42,50,8
Barack Obama,9/21/11,9/23/11,39,53,8
Barack Obama,9/20/11,9/22/11,40,52,8
Barack Obama,9/19/11,9/21/11,41,51,8
Barack Obama,9/18/11,9/20/11,42,49,9
Barack Obama,9/17/11,9/19/11,42,50,8
Barack Obama,9/16/11,9/18/11,40,52,8
Barack Obama,9/15/11,9/17/11,40,53,7
Barack Obama,9/14/11,9/16/11,39,53,8
Barack Obama,9/13/11,9/15/11,39,52,9
Barack Obama,9/12/11,9/14/11,39,53,8
Barack Obama,9/11/11,9/13/11,40,52,8
Barack Obama,9/10/11,9/12/11,43,50,7
Barack Obama,9/9/11,9/11/11,42,49,9
Barack Obama,9/8/11,9/10/11,42,48,10
Barack Obama,9/7/11,9/9/11,43,48,9
Barack Obama,9/6/11,9/8/11,43,49,8
Barack Obama,9/4/11,9/7/11,44,50,6
Barack Obama,9/3/11,9/6/11,42,50,8
Barack Obama,9/2/11,9/4/11,43,50,7
Barack Obama,9/1/11,9/3/11,42,50,8
Barack Obama,8/31/11,9/2/11,42,51,7
Barack Obama,8/30/11,9/1/11,42,50,8
Barack Obama,8/29/11,8/31/11,42,50,8
Barack Obama,8/27/11,8/30/11,39,54,7
Barack Obama,8/26/11,8/29/11,38,55,7
Barack Obama,8/25/11,8/27/11,38,55,7
Barack Obama,8/24/11,8/26/11,41,51,8
Barack Obama,8/23/11,8/25/11,42,50,8
Barack Obama,8/22/11,8/24/11,41,50,9
Barack Obama,8/21/11,8/23/11,39,53,8
Barack Obama,8/20/11,8/22/11,38,54,8
Barack Obama,8/19/11,8/21/11,40,53,7
Barack Obama,8/18/11,8/20/11,40,53,7
Barack Obama,8/17/11,8/19/11,42,51,7
Barack Obama,8/16/11,8/18/11,40,53,7
Barack Obama,8/15/11,8/17/11,40,52,8
Barack Obama,8/14/11,8/16/11,40,52,8
Barack Obama,8/13/11,8/15/11,39,53,8
Barack Obama,8/12/11,8/14/11,41,52,7
Barack Obama,8/11/11,8/13/11,39,54,7
Barack Obama,8/10/11,8/12/11,42,51,7
Barack Obama,8/9/11,8/11/11,41,51,8
Barack Obama,8/8/11,8/10/11,41,51,8
Barack Obama,8/7/11,8/9/11,41,51,8
Barack Obama,8/6/11,8/8/11,40,50,10
Barack Obama,8/5/11,8/7/11,43,48,9
Barack Obama,8/4/11,8/6/11,42,50,8
Barack Obama,8/3/11,8/5/11,42,50,8
Barack Obama,8/2/11,8/4/11,41,52,7
Barack Obama,8/1/11,8/3/11,41,51,8
Barack Obama,7/31/11,8/2/11,42,49,9
Barack Obama,7/30/11,8/1/11,43,48,9
Barack Obama,7/29/11,7/31/11,43,50,7
Barack Obama,7/28/11,7/30/11,41,52,7
Barack Obama,7/27/11,7/29/11,40,52,8
Barack Obama,7/26/11,7/28/11,40,50,10
Barack Obama,7/25/11,7/27/11,43,48,9
Barack Obama,7/24/11,7/26/11,46,46,8
Barack Obama,7/23/11,7/25/11,46,46,8
Barack Obama,7/22/11,7/24/11,45,48,7
Barack Obama,7/21/11,7/23/11,42,49,9
Barack Obama,7/20/11,7/22/11,43,49,8
Barack Obama,7/19/11,7/21/11,43,49,8
Barack Obama,7/18/11,7/20/11,43,49,8
Barack Obama,7/17/11,7/19/11,42,48,10
Barack Obama,7/16/11,7/18/11,44,47,9
Barack Obama,7/15/11,7/17/11,44,48,8
Barack Obama,7/14/11,7/16/11,44,49,7
Barack Obama,7/13/11,7/15/11,42,50,8
Barack Obama,7/12/11,7/14/11,44,48,8
Barack Obama,7/11/11,7/13/11,44,48,8
Barack Obama,7/10/11,7/12/11,46,46,8
Barack Obama,7/9/11,7/11/11,46,46,8
Barack Obama,7/8/11,7/10/11,45,46,9
Barack Obama,7/7/11,7/9/11,46,45,9
Barack Obama,7/6/11,7/8/11,46,45,9
Barack Obama,7/5/11,7/7/11,47,44,9
Barack Obama,7/3/11,7/6/11,46,47,7
Barack Obama,7/2/11,7/5/11,45,47,8
Barack Obama,7/1/11,7/3/11,47,46,7
Barack Obama,6/30/11,7/2/11,45,47,8
Barack Obama,6/29/11,7/1/11,45,47,8
Barack Obama,6/28/11,6/30/11,44,47,9
Barack Obama,6/27/11,6/29/11,46,46,8
Barack Obama,6/26/11,6/28/11,45,46,9
Barack Obama,6/25/11,6/27/11,44,48,8
Barack Obama,6/24/11,6/26/11,43,49,8
Barack Obama,6/23/11,6/25/11,44,49,7
Barack Obama,6/22/11,6/24/11,45,48,7
Barack Obama,6/21/11,6/23/11,45,47,8
Barack Obama,6/20/11,6/22/11,43,50,7
Barack Obama,6/19/11,6/21/11,43,49,8
Barack Obama,6/18/11,6/20/11,45,48,7
Barack Obama,6/17/11,6/19/11,49,43,8
Barack Obama,6/16/11,6/18/11,49,44,7
Barack Obama,6/15/11,6/17/11,46,46,8
Barack Obama,6/14/11,6/16/11,45,47,8
Barack Obama,6/13/11,6/15/11,46,46,8
Barack Obama,6/12/11,6/14/11,47,47,6
Barack Obama,6/11/11,6/13/11,47,46,7
Barack Obama,6/10/11,6/12/11,47,45,8
Barack Obama,6/9/11,6/11/11,46,44,10
Barack Obama,6/8/11,6/10/11,46,45,9
Barack Obama,6/7/11,6/9/11,45,46,9
Barack Obama,6/6/11,6/8/11,46,44,10
Barack Obama,6/5/11,6/7/11,49,41,10
Barack Obama,6/4/11,6/6/11,50,40,10
Barack Obama,6/3/11,6/5/11,49,43,8
Barack Obama,6/2/11,6/4/11,47,45,8
Barack Obama,6/1/11,6/3/11,48,44,8
Barack Obama,5/31/11,6/2/11,51,42,7
Barack Obama,5/29/11,6/1/11,53,39,8
Barack Obama,5/28/11,5/31/11,49,42,9
Barack Obama,5/27/11,5/29/11,47,44,9
Barack Obama,5/26/11,5/28/11,46,45,9
Barack Obama,5/25/11,5/27/11,49,43,8
Barack Obama,5/24/11,5/26/11,51,41,8
Barack Obama,5/23/11,5/25/11,52,42,6
Barack Obama,5/22/11,5/24/11,53,41,6
Barack Obama,5/21/11,5/23/11,51,42,7
Barack Obama,5/20/11,5/22/11,50,42,8
Barack Obama,5/19/11,5/21/11,49,43,8
Barack Obama,5/18/11,5/20/11,49,43,8
Barack Obama,5/17/11,5/19/11,49,43,8
Barack Obama,5/16/11,5/18/11,50,43,7
Barack Obama,5/15/11,5/17/11,48,43,9
Barack Obama,5/14/11,5/16/11,48,43,9
Barack Obama,5/13/11,5/15/11,46,44,10
Barack Obama,5/12/11,5/14/11,48,44,8
Barack Obama,5/11/11,5/13/11,48,45,7
Barack Obama,5/10/11,5/12/11,50,43,7
Barack Obama,5/9/11,5/11/11,51,42,7
Barack Obama,5/8/11,5/10/11,51,40,9
Barack Obama,5/7/11,5/9/11,52,40,8
Barack Obama,5/6/11,5/8/11,51,40,9
Barack Obama,5/5/11,5/7/11,51,41,8
Barack Obama,5/4/11,5/6/11,51,41,8
Barack Obama,5/3/11,5/5/11,51,41,8
Barack Obama,5/2/11,5/4/11,52,40,8
Barack Obama,5/1/11,5/3/11,50,42,8
Barack Obama,4/30/11,5/2/11,47,44,9
Barack Obama,4/29/11,5/1/11,46,45,9
Barack Obama,4/28/11,4/30/11,46,46,8
Barack Obama,4/27/11,4/29/11,45,47,8
Barack Obama,4/26/11,4/28/11,43,49,8
Barack Obama,4/25/11,4/27/11,42,49,9
Barack Obama,4/23/11,4/26/11,43,48,9
Barack Obama,4/22/11,4/25/11,44,47,9
Barack Obama,4/21/11,4/23/11,44,46,10
Barack Obama,4/20/11,4/22/11,44,47,0
Barack Obama,4/19/11,4/21/11,44,47,9
Barack Obama,4/18/11,4/20/11,43,49,8
Barack Obama,4/17/11,4/19/11,42,49,9
Barack Obama,4/16/11,4/18/11,44,48,8
Barack Obama,4/15/11,4/17/11,44,47,9
Barack Obama,4/14/11,4/16/11,44,47,9
Barack Obama,4/13/11,4/15/11,41,49,8
Barack Obama,4/12/11,4/14/11,41,50,9
Barack Obama,4/11/11,4/13/11,42,50,8
Barack Obama,4/10/11,4/12/11,44,48,8
Barack Obama,4/9/11,4/11/11,46,46,8
Barack Obama,4/8/11,4/10/11,45,46,9
Barack Obama,4/7/11,4/9/11,45,46,9
Barack Obama,4/6/11,4/8/11,44,47,9
Barack Obama,4/5/11,4/7/11,45,47,8
Barack Obama,4/4/11,4/6/11,45,47,8
Barack Obama,4/3/11,4/5/11,45,45,10
Barack Obama,4/2/11,4/4/11,46,45,9
Barack Obama,4/1/11,4/3/11,46,45,9
Barack Obama,3/31/11,4/2/11,46,46,8
Barack Obama,3/30/11,4/1/11,46,45,9
Barack Obama,3/29/11,3/31/11,47,44,9
Barack Obama,3/28/11,3/30/11,49,43,8
Barack Obama,3/27/11,3/29/11,49,44,7
Barack Obama,3/26/11,3/28/11,48,45,7
Barack Obama,3/25/11,3/27/11,45,48,7
Barack Obama,3/24/11,3/26/11,46,46,8
Barack Obama,3/23/11,3/25/11,47,46,7
Barack Obama,3/22/11,3/24/11,46,46,8
Barack Obama,3/21/11,3/23/11,45,46,9
Barack Obama,3/20/11,3/22/11,45,46,9
Barack Obama,3/19/11,3/21/11,44,46,10
Barack Obama,3/18/11,3/20/11,46,44,10
Barack Obama,3/17/11,3/19/11,46,45,9
Barack Obama,3/16/11,3/18/11,49,43,8
Barack Obama,3/15/11,3/17/11,51,42,7
Barack Obama,3/14/11,3/16/11,50,43,7
Barack Obama,3/13/11,3/15/11,48,44,8
Barack Obama,3/11/11,3/13/11,46,44,10
Barack Obama,3/10/11,3/12/11,46,45,9
Barack Obama,3/9/11,3/11/11,49,43,8
Barack Obama,3/8/11,3/10/11,47,45,8
Barack Obama,3/7/11,3/9/11,47,45,8
Barack Obama,3/6/11,3/8/11,45,48,7
Barack Obama,3/5/11,3/7/11,46,46,8
Barack Obama,3/4/11,3/6/11,47,45,8
Barack Obama,3/3/11,3/5/11,47,45,8
Barack Obama,3/2/11,3/4/11,47,44,9
Barack Obama,3/1/11,3/3/11,45,46,9
Barack Obama,2/28/11,3/2/11,46,47,7
Barack Obama,2/27/11,3/1/11,45,46,9
Barack Obama,2/26/11,2/28/11,45,46,9
Barack Obama,2/25/11,2/27/11,47,44,9
Barack Obama,2/24/11,2/26/11,49,44,7
Barack Obama,2/23/11,2/25/11,50,42,8
Barack Obama,2/22/11,2/24/11,48,44,8
Barack Obama,2/21/11,2/23/11,46,46,8
Barack Obama,2/20/11,2/22/11,47,45,8
Barack Obama,2/19/11,2/21/11,46,45,9
Barack Obama,2/18/11,2/20/11,48,43,9
Barack Obama,2/17/11,2/19/11,48,44,8
Barack Obama,2/16/11,2/18/11,51,42,7
Barack Obama,2/15/11,2/17/11,49,43,8
Barack Obama,2/14/11,2/16/11,48,43,9
Barack Obama,2/13/11,2/15/11,46,46,8
Barack Obama,2/12/11,2/14/11,48,44,8
Barack Obama,2/11/11,2/13/11,49,43,8
Barack Obama,2/10/11,2/12/11,49,42,9
Barack Obama,2/9/11,2/11/11,48,44,8
Barack Obama,2/8/11,2/10/11,47,44,9
Barack Obama,2/7/11,2/9/11,48,44,8
Barack Obama,2/5/11,2/8/11,47,44,9
Barack Obama,2/4/11,2/7/11,46,45,9
Barack Obama,2/3/11,2/5/11,46,45,9
Barack Obama,2/2/11,2/4/11,45,47,8
Barack Obama,2/1/11,2/3/11,46,46,8
Barack Obama,1/31/11,2/2/11,48,45,7
Barack Obama,1/30/11,2/1/11,50,42,8
Barack Obama,1/29/11,1/31/11,50,41,9
Barack Obama,1/28/11,1/30/11,50,42,8
Barack Obama,1/27/11,1/29/11,50,41,9
Barack Obama,1/26/11,1/28/11,50,41,9
Barack Obama,1/25/11,1/27/11,49,41,10
Barack Obama,1/24/11,1/26/11,49,42,9
Barack Obama,1/23/11,1/25/11,49,43,8
Barack Obama,1/22/11,1/24/11,50,42,8
Barack Obama,1/21/11,1/23/11,50,42,8
Barack Obama,1/20/11,1/22/11,49,42,9
Barack Obama,1/19/11,1/21/11,51,41,8
Barack Obama,1/18/11,1/20/11,50,42,8
Barack Obama,1/17/11,1/19/11,51,42,7
Barack Obama,1/16/11,1/18/11,49,43,8
Barack Obama,1/15/11,1/17/11,50,42,8
Barack Obama,1/14/11,1/16/11,48,42,10
Barack Obama,1/13/11,1/15/11,49,42,9
Barack Obama,1/12/11,1/14/11,49,43,8
Barack Obama,1/11/11,1/13/11,49,43,8
Barack Obama,1/9/11,1/12/11,48,45,7
Barack Obama,1/8/11,1/11/11,48,44,8
Barack Obama,1/7/11,1/9/11,49,43,8
Barack Obama,1/6/11,1/8/11,48,43,9
Barack Obama,1/5/11,1/7/11,48,46,6
Barack Obama,1/4/11,1/6/11,46,48,6
Barack Obama,1/3/11,1/5/11,48,46,6
Barack Obama,1/2/11,1/4/11,49,45,6
Barack Obama,12/29/10,1/3/11,50,43,7
Barack Obama,12/28/10,1/2/11,50,42,8
Barack Obama,12/27/10,12/29/10,47,45,8
Barack Obama,12/26/10,12/28/10,47,46,7
Barack Obama,12/23/10,12/27/10,45,48,7
Barack Obama,12/22/10,12/26/10,46,46,8
Barack Obama,12/21/10,12/23/10,48,45,7
Barack Obama,12/20/10,12/22/10,49,45,6
Barack Obama,12/18/10,12/20/10,46,48,6
Barack Obama,12/17/10,12/19/10,46,45,9
Barack Obama,12/16/10,12/18/10,46,46,8
Barack Obama,12/15/10,12/17/10,46,45,9
Barack Obama,12/14/10,12/16/10,45,48,7
Barack Obama,12/13/10,12/15/10,45,46,9
Barack Obama,12/12/10,12/14/10,45,47,8
Barack Obama,12/11/10,12/13/10,46,45,9
Barack Obama,12/10/10,12/12/10,45,49,6
Barack Obama,12/9/10,12/11/10,46,47,7
Barack Obama,12/7/10,12/10/10,43,49,8
Barack Obama,12/6/10,12/9/10,45,47,8
Barack Obama,12/5/10,12/7/10,43,48,9
Barack Obama,12/4/10,12/6/10,46,47,7
Barack Obama,12/3/10,12/5/10,47,45,8
Barack Obama,12/2/10,12/4/10,48,43,9
Barack Obama,12/1/10,12/3/10,47,44,9
Barack Obama,11/29/10,12/2/10,45,47,8
Barack Obama,11/28/10,12/1/10,45,47,8
Barack Obama,11/27/10,11/29/10,47,45,8
Barack Obama,11/26/10,11/28/10,46,46,8
Barack Obama,11/24/10,11/27/10,45,47,8
Barack Obama,11/23/10,11/26/10,44,48,8
Barack Obama,11/22/10,11/24/10,44,48,8
Barack Obama,11/21/10,11/23/10,44,47,9
Barack Obama,11/20/10,11/22/10,46,46,8
Barack Obama,11/19/10,11/21/10,47,46,7
Barack Obama,11/17/10,11/20/10,46,47,7
Barack Obama,11/16/10,11/19/10,45,48,7
Barack Obama,11/15/10,11/17/10,46,47,7
Barack Obama,11/14/10,11/16/10,48,45,7
Barack Obama,11/13/10,11/15/10,48,45,7
Barack Obama,11/12/10,11/14/10,45,47,8
Barack Obama,11/11/10,11/13/10,43,49,8
Barack Obama,11/10/10,11/12/10,42,49,9
Barack Obama,11/9/10,11/11/10,43,49,8
Barack Obama,11/8/10,11/10/10,44,48,8
Barack Obama,11/7/10,11/9/10,44,48,8
Barack Obama,11/6/10,11/8/10,46,46,8
Barack Obama,11/5/10,11/7/10,47,46,7
Barack Obama,11/4/10,11/6/10,47,45,8
Barack Obama,11/3/10,11/5/10,45,47,8
Barack Obama,11/2/10,11/4/10,44,48,8
Barack Obama,11/1/10,11/3/10,44,49,7
Barack Obama,10/31/10,11/2/10,43,49,8
Barack Obama,10/30/10,11/1/10,44,48,8
